Artikelnummer;Produktname;Beschreibung;ProduktURL;EAN;BildURL;Produktgruppe;PreisEuro;Herstellername;Versandkosten;Herstellernummer;Lieferzeit;Direktkauffreigabe;Lagerbestand;Versandart;Grundpreis;Freigegebene Stueckzahl
70811502-3;Damenring aus 925 Silber mit London Blue Topas;Damenring, Silber 925, London blau Topas;https://www.kaufbei.tv/Kaufbei-Schmuck/Damenringe/Damenring-mit-London-Blue-Topas-und-Topas-Silber-925-17-mm-53.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/92011221(1).png;Kaufbei Schmuck > Ringe > Damenringe;78,00;SOKOLOV Schmuck & Jewelry;5,90;;1-4 Tage;;99;Paketdienst;;99
70138271;Zitronengras-Vitamin-Shampoo \"Rezepten von Oma Agafia\" - Frische und lebendiger Glanz, 280 ml;Zitronengras-Vitamin-Shampoo \"Rezepten von Oma Agafia\" - Frische und lebendiger Glanz;https://www.kaufbei.tv/Kaufbei-Drogerie-Beauty/Shampoo-Vitamin-Zitrone-Rezepten-von-Omi-Agafja-280-ml.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4744183017221;https://www.kaufbei.tv/out/pictures/master/product/1/1608031056d7c22da4cd520507bd63d19ffe574b70-f.png;Kaufbei Drogerie & Beauty;2,28;Oma Agafia;5,90;;1-4 Tage;;99;Paketdienst;8,14€/l;99
70810660-1;Damenring aus 925 Silber mit Granat und Zirkonia;Damenring, Silber 925, Granat und Zirkonia;https://www.kaufbei.tv/Kaufbei-Schmuck/Damenring-mit-Granat-und-Zirkonia-Kaufbei-Schmuck-16-mm-50.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/0c5df3e32a3b2aa09491955f787d(7).jpg;Kaufbei Schmuck;38,00;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70139646;Spielkarten \"BCG-92\", Packung mit 12 Kartenspielen;;https://www.kaufbei.tv/Kaufbei-Kueche-Haushalt/Kind-Baby/Spielwaren/Spielkarten-BCG-92-Packung-mit-12-Kartenspielen-aus-Pappe.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4250757739869;https://www.kaufbei.tv/out/pictures/master/product/1/1622453509d88e0f057d5beaf49a52d9d96b788db9-f.png;Spielwaren;12,99;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70200372-1;Visoluten - Augengewebe-Peptide A-11 (20 oder 60 Kapseln);20 Kapseln;https://www.kaufbei.tv/Kaufbei-Drogerie-Beauty/Nahrungsergaenzungsmittel-Peptiden/Visoluten-Peptid-Bioregulator-Augenextrakt-20-oder-60-Kapseln-20-Kapseln.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4603423002444;https://www.kaufbei.tv/out/pictures/master/product/1/70200372visoluten.jpg;;39,99;unbekannt;5,90;7022020N20;1-4 Tage;;99;Paketdienst;2,00€/Stück;99
70136554;Keramikuntersetzer \"Zauberhaftes Neues Jahr\", Ø 16 cm;;https://www.kaufbei.tv/Kaufbei-Kueche-Haushalt/Keramikuntersetzer-Zauberhaftes-Neues-Jahr-16-cm.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4250757729006;https://www.kaufbei.tv/out/pictures/master/product/1/1554806561fd38a08d009e196f79c1a09400cfdacd-f.png;Kaufbei Küche & Haushalt;7,60;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70814091;Panzerkette 585/- Gelbgold;Panzerkette;https://www.kaufbei.tv/Kaufbei-Schmuck/Panzerkette-585-Gelbgold-585-Gelbgold-14K-45-0-cm-oxid-2.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4032408042937;https://www.kaufbei.tv/out/pictures/master/product/1/1603730434pa80160(1).jpg;Kaufbei Schmuck;730,00;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70814091;Panzerkette 585/- Gelbgold;Panzerkette;https://www.kaufbei.tv/Kaufbei-Schmuck/Panzerkette-585-Gelbgold-585-Gelbgold-14K-45-0-cm-oxid-2.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4032408042937;https://www.kaufbei.tv/out/pictures/master/product/1/1603730434pa80160(1).jpg;Kaufbei Schmuck > Halsschmuck;730,00;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70134741;Schüssel \"Birke\", 2. 0 Liter;Schüssel \"Birke\", 2. 0 Liter;https://www.kaufbei.tv/Haushaltswaren/Geschirr-Besteck-Glaeser/Schuessel-mit-Rand-Birke.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;None;https://www.kaufbei.tv/out/pictures/master/product/1/1515755306f00004765-491760086_web_optimiert_d-f.jpg;Geschirr;12,99;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70134741;Schüssel \"Birke\", 2. 0 Liter;Schüssel \"Birke\", 2. 0 Liter;https://www.kaufbei.tv/Haushaltswaren/Geschirr-Besteck-Glaeser/Schuessel-mit-Rand-Birke.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;None;https://www.kaufbei.tv/out/pictures/master/product/1/1515755306f00004765-491760086_web_optimiert_d-f.jpg;;12,99;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70134741;Schüssel \"Birke\", 2. 0 Liter;Schüssel \"Birke\", 2. 0 Liter;https://www.kaufbei.tv/Haushaltswaren/Geschirr-Besteck-Glaeser/Schuessel-mit-Rand-Birke.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;None;https://www.kaufbei.tv/out/pictures/master/product/1/1515755306f00004765-491760086_web_optimiert_d-f.jpg;;12,99;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70902583-9;Damenring aus 925 Silber mit Perle und Zirkonia;Damenring 925 Silber mit Perle und Zirkonia;https://www.kaufbei.tv/Kaufbei-Schmuck/Ringe/Damenring-aus-925-Silber-mit-Perle-und-Zirkonia-20-mm-63.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/kaufbei_schmuck_70902583(5).jpg;Kaufbei Schmuck > Ringe;32,00;SOKOLOV Schmuck & Jewelry;5,90;;1-4 Tage;;1;Paketdienst;;1
